stage,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,ece_mean
1_promptmd_baseline,0.7908045977011493,0.0596816321183778,0.714489930694264,0.0802918177506495,
2_optimized_architecture_only,0.8137931034482758,0.051609067403778505,0.7575768927072185,0.07260598157118289,
3_plus_improved_normalization,0.8126436781609195,0.05031280144422823,0.7563535187429802,0.0711913202717919,
4_plus_class_balancing,0.7724137931034484,0.06959482989986483,0.7285405134988717,0.07994722239298653,
5_final_feature_set_lab_only,0.793103448275862,0.07122727993025132,0.7492375855148957,0.0798856232170382,
8_final_complete_with_calibration,0.793103448275862,0.07122727993025132,0.7492375855148957,0.0798856232170382,0.1205333262853239
